tweet_id,safe_text,label,agreement,cleaned_safe_text
2HOYSY0P,"AUTHENTIC EBOLA VACCINE, BLACK PLAGUE BLACK DEATH VACCINE, YERSINIA PESTIS VACCINE, HIV VACCINE. <url>",0.0,1.0,authentic ebola vaccine black plague black death vaccine yersinia pestis vaccine hiv vaccine url
YQ08Z4HT,I hope her unvaccinated kid gives Jim Belushi measles. RT <user> <user> what about Jenny McCarthy?,1.0,1.0,i hope her unvaccinated kid give jim belushi measles rt user user what about jenny mccarthy
6P9XNJCZ,Vaccinate your damn kids. Bc for those kids that cannot get vaccines for real harmful purposes are gonna be just as in danger as kids,1.0,0.6666666666666666,vaccinate your damn kid bc for those kid that cannot get vaccine for real harmful purpose are gonna be just a in danger a kid
7NP3F1WJ,"“<user> Explorers gave Native Americans blankets deliberately infected with measles, killing off 90% of the population.",0.0,1.0,user explorer gave native american blanket deliberately infected with measles killing off of the population
HPNH7D2N,hey everyone if you have a kid shoot em up with vaccines. we ain't tryna die of some shit that's preventable ja feel,1.0,1.0,hey everyone if you have a kid shoot em up with vaccine we ain t tryna die of some shit that s preventable ja feel
W17AD10P,"Ok <user> when ever u are blessed with a child, please get the rugrat vaccinated.",1.0,1.0,ok user when ever u are blessed with a child please get the rugrat vaccinated
MHACZZCM,You couldn't pay me enough to vaccinate my child. No way In hell. #notachance,-1.0,1.0,you couldn t pay me enough to vaccinate my child no way in hell notachance
HP96CIQQ,4th case of measles in San Mateo County got on a BART train in Millbrae last Friday at 4:30pm &amp; got off at Civic Center in SF.,0.0,1.0,th case of measles in san mateo county got on a bart train in millbrae last friday at pm amp got off at civic center in sf
9YSRNFA6,<user> do you have a science and/or medical degree? Stop spreading lies about vaccines.  Your (stupid choice) but plz keep private.,1.0,1.0,user do you have a science and or medical degree stop spreading lie about vaccine your stupid choice but plz keep private
5T7RMAPZ,HB2101 [NEW] Public finance; Whistleblower Liberty Fund Act; immunity; award of funds; effective date. <url>,0.0,1.0,hb new public finance whistleblower liberty fund act immunity award of fund effective date url
B46MPMDE,"If I ain't the illest nigga I'm its new vaccine, really more like poison",0.0,1.0,if i ain t the illest nigga i m it new vaccine really more like poison
LEW9CR9T,".<user> ""#Measles Vaccine is SAFE, EFFECTIVE &amp; not just for kids."" Need a booster? <url> #mapit <url>",1.0,1.0,user measles vaccine is safe effective amp not just for kid need a booster url mapit url
KCFZ4YVU,“<user> The measles may have hit Wisconsin. <url> <url> dammit,1.0,1.0,user the measles may have hit wisconsin url url dammit
JDRS6D2E,<user> the vaccine were not available when I was growing up Measles and chicken pox are not fun. I even had German Measles.,0.0,0.6666666666666666,user the vaccine were not available when i wa growing up measles and chicken pox are not fun i even had german measles
S7I6OG7B,"GOP: Defending Your Freedom to Get Measles and Not Pay For Your Own Medical Care 

-- too clunky for a bumper sticker? 

#p2 #UniteBlue",1.0,0.6666666666666666,gop defending your freedom to get measles and not pay for your own medical care too clunky for a bumper sticker p uniteblue
4GWYDZG2,"Every time I try to put on 50 shades of yoga pants, I get the measles. #thelightersideofrecentcontroversies",0.0,1.0,every time i try to put on shade of yoga pant i get the measles thelightersideofrecentcontroversies
8IHLFOCR,"Study of more than 95,000 kids finds no link between MMR vaccine and autism <url>",0.0,0.6666666666666666,study of more than kid find no link between mmr vaccine and autism url
6EP73PSR,"""Sharks have the best immunity to diseases that are known to man and deadly diseases like cancer do not affect them at all.” #Sharks 🌊☀",0.0,1.0,shark have the best immunity to disease that are known to man and deadly disease like cancer do not affect them at all shark
7TGFZ50T,"<user> Spoiler alert-answer is to vaccinate! ""<user> Protecting Newborns Against Whooping Cough <url>",1.0,1.0,user spoiler alert answer is to vaccinate user protecting newborn against whooping cough url
KKO96UA8,"<user> ""FDA admits in court case that..."" #murderousirresponsibility continues, old debunked accusations from #spammers #vaccines",0.0,0.6666666666666666,user fda admits in court case that murderousirresponsibility continues old debunked accusation from spammer vaccine
GNKN8BSQ,#vaccineswork  U have the right 2 watch your child die from a disease that most people don't  want.  Stupid  American white people problems,1.0,0.6666666666666666,vaccineswork u have the right watch your child die from a disease that most people don t want stupid american white people problem
LV0G8EV9,White Christian ppl just aren't safe anymore! #ebola #Obama #illegals #guncontrol #FreeCommunityCollege #measles in #Disney MY GOD! #CBS,0.0,0.6666666666666666,white christian ppl just aren t safe anymore ebola obama illegals guncontrol freecommunitycollege measles in disney my god cbs
Z3P15498,"If you ever want me to have your babies, you better be more than willing to have that child vaccinated. #VaccinateYourKids",1.0,1.0,if you ever want me to have your baby you better be more than willing to have that child vaccinated vaccinateyourkids
9T6QA1CE,Indiana health officials suggest flu vaccinations for dogs <url> via <user> #dogsrock #prevent,1.0,0.6666666666666666,indiana health official suggest flu vaccination for dog url via user dogsrock prevent
N7A7EOSF,“<user> Barack Obama urges vaccinations <url> RT  now no Repubs will vaccinate their children 😷,1.0,1.0,user barack obama urge vaccination url rt now no repubs will vaccinate their child
7HALCG0P,"RE FUCKING TWEET <user> If you think vaccines give your child autism, you probably have autism yourself",1.0,1.0,re fucking tweet user if you think vaccine give your child autism you probably have autism yourself
79NNLJD1,It's good to be back. <user> <user> #hookem #genetics #vaccines #health @ The… <url>,0.0,0.6666666666666666,it s good to be back user user hookem genetics vaccine health the url
AYZTN5G0,Cooties Immunization <user> #KidLegislation,0.0,1.0,cootie immunization user kidlegislation
SKMZ8N2N,"If the US had #SchoolChoice, #CharterSchools could require thier students be #Vaccinated &amp; public schools would be full of unvaccinated kids",0.0,0.6666666666666666,if the u had schoolchoice charterschools could require thier student be vaccinated amp public school would be full of unvaccinated kid
DTEUR07O,CDC Honors 33 Childhood Immunization Champions during NIIW <url>,1.0,0.6666666666666666,cdc honor childhood immunization champion during niiw url
RW5FZ5I4,"Not sure if Sharyl Attkisson is a vaccine truther, but she sure does ask a lot of questions. <url>",0.0,0.6666666666666666,not sure if sharyl attkisson is a vaccine truther but she sure doe ask a lot of question url
F6YUD60P,The Measles Outbreak and the Precautionary Principle  via <user> <url>,0.0,0.6666666666666666,the measles outbreak and the precautionary principle via user url
6D2L6C2G,Nah everybody there got measles “<user> Who Tryna go to Disneyland spring break? 🏰”,0.0,0.6666666666666666,nah everybody there got measles user who tryna go to disneyland spring break
AON17ATX,"<user> Here my new ringtone.  Pass it on....

Vaccinate Your Kids - Mitch Benn: <url>",1.0,1.0,user here my new ringtone pas it on vaccinate your kid mitch benn url
SAZD2ARB,Children's Museum of Houston to Offer Free Vaccinations <url>,1.0,0.6666666666666666,child s museum of houston to offer free vaccination url
9U7TFNO7,".<user> 1 in 5 children are w/o lifesaving vaccines, pls change this &amp; put #immunizationfirst on the <user> Summit agenda",1.0,1.0,user in child are w o lifesaving vaccine pls change this amp put immunizationfirst on the user summit agenda
G9N9AMPC,"<user> Anti-vaccination parents risk everybody's lives not just their own. I rarely call for behavior to be criminalized, but that does it.",1.0,1.0,user anti vaccination parent risk everybody s life not just their own i rarely call for behavior to be criminalized but that doe it
PKQ52RL2,CDC: HPV Vaccine Reduced Disease Rates in Teen Girls by 56 Percent: (credit: Robyn Beck/AFP/Getty Images)Boston... <url>,1.0,0.6666666666666666,cdc hpv vaccine reduced disease rate in teen girl by percent credit robyn beck afp getty image boston url
6CLOAT0H,"Parents refusing to vaccinate their children have brought back measles, whooping cough and tuberculosis to SoCal.",1.0,0.6666666666666666,parent refusing to vaccinate their child have brought back measles whooping cough and tuberculosis to socal
PNRF6FX9,Can I disown a relative for saying vaccines kill kids more then they save them. #IdiotOlympics #vaccinations #cantfixstupid,1.0,1.0,can i disown a relative for saying vaccine kill kid more then they save them idiotolympics vaccination cantfixstupid
IX6M4EMA,Vaccinate your kids!!..0please people.,1.0,1.0,vaccinate your kid please people
FTJI39IG,Disney Tie Hides Biggest Measles Risk as Adults Catch It - Bloomberg Business.  <url>,0.0,1.0,disney tie hide biggest measles risk a adult catch it bloomberg business url
UQJTX0LS,California governor signs strict school vaccine legislation: Gov. Jerry Brown wasted no time Tuesday in signing a… <url>,1.0,1.0,california governor sign strict school vaccine legislation gov jerry brown wasted no time tuesday in signing a url
72OFUVD1,"Amid growing vaccination debate, measles continues to spread and is now in New York state <url> (via <user>",0.0,0.6666666666666666,amid growing vaccination debate measles continues to spread and is now in new york state url via user
EY5XT7E5,"Why not let the people who don't want to vaccinate their kids not do it, and give those vaccines to kids in Latin America and Africa?",0.0,1.0,why not let the people who don t want to vaccinate their kid not do it and give those vaccine to kid in latin america and africa
ZKURTNG4,“<user> I rarely see arguments about over vaccination.” Which is actually a big deal,0.0,0.6666666666666666,user i rarely see argument about over vaccination which is actually a big deal
2N6FLVEX,Visitors to Long Grove Menards may have been exposed to measles: The Lake County Health Department issued a warning… <url>,0.0,1.0,visitor to long grove menards may have been exposed to measles the lake county health department issued a warning url
YLH29ESJ,<user> a Busted that's why Immunity is what's needed for Truth,0.0,1.0,user a busted that s why immunity is what s needed for truth
ZG9EY9G8,They're heeeere! DC confirms a case of measles.,0.0,0.6666666666666666,they re heeeere dc confirms a case of measles
CTH8D2JT,Getting our flu and wooping cough vaccine tomorrow. Surreal that our baby girl will be in our arms soon. How soon? Anyone's guess. #love,1.0,1.0,getting our flu and wooping cough vaccine tomorrow surreal that our baby girl will be in our arm soon how soon anyone s guess love
KM1EQ1SK,<user> <user> So what's your response to vaccinations being down since ACA was passed?,0.0,1.0,user user so what s your response to vaccination being down since aca wa passed
UL03AOL4,“<user> Five babies at a Chicago daycare may have measles.  Details from public health officials coming up at 5. <url>,0.0,1.0,user five baby at a chicago daycare may have measles detail from public health official coming up at url
4X3VQ53B,If you are against vaccinations I hope you get measles,1.0,1.0,if you are against vaccination i hope you get measles
657QS260,Measles Outbreak: To Vaccinate Or Not Vaccinate <url>,0.0,1.0,measles outbreak to vaccinate or not vaccinate url
LBIIM2BD,"Where's <user> ""<user> Why you should vaccinate your kids, in two minutes: <url>",1.0,0.6666666666666666,where s user user why you should vaccinate your kid in two minute url
CI0H0TUW,"If Apple wanted to change the world, <user> would only allow new cool Apple stuff to those who have been vaccinated for childhood disease",1.0,0.6666666666666666,if apple wanted to change the world user would only allow new cool apple stuff to those who have been vaccinated for childhood disease
6HCHS4CK,<user> <user> understand that! Haven't had to try repeat of MMR or DT. Was told antihist would have to be used next time,0.0,1.0,user user understand that haven t had to try repeat of mmr or dt wa told antihist would have to be used next time
PMW2MBG4,"Two new cases of measles hit city: Two new cases of measles have been reported in the city, raising the total... <url>",0.0,1.0,two new case of measles hit city two new case of measles have been reported in the city raising the total url
AAWFSK70,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> #ff,0.0,1.0,user user user user user user user user user user ff
JOJIRZO6,"Measles is spreading, and the anti-vaccine movement is the cause <url>",1.0,1.0,measles is spreading and the anti vaccine movement is the cause url
X0MIY3R7,Anti-vaccine movement is giving diseases a 2nd life <url> via <user>,1.0,0.6666666666666666,anti vaccine movement is giving disease a nd life url via user
L6J2IFN4,Sick Child’s Father Seeks Vaccination Requirement in California - <url> – via <user> <url>,1.0,1.0,sick child s father seek vaccination requirement in california url via user url
ZR9A08QH,"right when some new vaccines came out, so the cases of kids with autism rose as vaccinations rose, no actual correlation, but ppl r dum lol",1.0,0.6666666666666666,right when some new vaccine came out so the case of kid with autism rose a vaccination rose no actual correlation but ppl r dum lol
86YWAKSI,Health: Mother Whose Son Died From Flu Complications Urges Others To Get Vaccinated: By Stephanie StahlPHILADELPHIA… <url>,1.0,1.0,health mother whose son died from flu complication urge others to get vaccinated by stephanie stahlphiladelphia url
89P2DKCA,Arizona monitoring hundreds for measles linked to Disneyland <url>,0.0,1.0,arizona monitoring hundred for measles linked to disneyland url
2ZZCHGZG,Several Disneyland employees diagnosed with measles: The happiest place on Earth just got a bit sadder for some of… <url>,0.0,0.6666666666666666,several disneyland employee diagnosed with measles the happiest place on earth just got a bit sadder for some of url
VFISGEWL,<user> Current 80 cases attributable to travel to or from countries w more measles. Measles is no longer endemic to USA.,0.0,1.0,user current case attributable to travel to or from country w more measles measles is no longer endemic to usa
T4VPKAV4,"HB822 [NEW] In casualty insurance, providing for health insurance coverage for immunizations administered at a ph... <url>",0.0,0.6666666666666666,hb new in casualty insurance providing for health insurance coverage for immunization administered at a ph url
JRE0LQNG,"Ya trop de pubs, trop de marques c devenu chiant qd mmr",0.0,1.0,ya trop de pub trop de marque c devenu chiant qd mmr
2GDISYG8,“<user> Harry Reid spews nothing but hatred &amp; lies while having immunity on Senate floor. What a shameful coward! #tcot #patriotism”,0.0,1.0,user harry reid spews nothing but hatred amp lie while having immunity on senate floor what a shameful coward tcot patriotism
HD8D4JOD,"<user> <user> She has a Son with Autism, when born? Allergies to food? She needs to learn how Vaccines and Glyphosate interact!",-1.0,0.6666666666666666,user user she ha a son with autism when born allergy to food she need to learn how vaccine and glyphosate interact
TNFHGGWW,"If you're not gonna vaccinate your kids, don't be pissy when no one wants to be near them. Stupid ass people.",1.0,1.0,if you re not gonna vaccinate your kid don t be pissy when no one want to be near them stupid as people
VQU7G7GQ,"People who think vaccines give children autism are stupid.
And gullible.
And I feel bad for your future kids.",1.0,1.0,people who think vaccine give child autism are stupid and gullible and i feel bad for your future kid
G41KC2SD,Vaccinate your damn kids . Hell to you Jenny McCarthy <url>,1.0,1.0,vaccinate your damn kid hell to you jenny mccarthy url
2XLTND4M,Vaccine for pneumonia and meningitis routinely given to babies exceeds expectations: <url>,1.0,1.0,vaccine for pneumonia and meningitis routinely given to baby exceeds expectation url
405KYAFH,<user> (cont) how immigrants caused the measles outbreak,0.0,1.0,user cont how immigrant caused the measles outbreak
ORYVRKVQ,<url> #autism link to #vaccines,-1.0,1.0,url autism link to vaccine
U5SB6XM7,2 discon's straight -_- no mmr for me,0.0,1.0,discon s straight no mmr for me
G50KDYYR,"“<user> I'm hoping that someone who injects botulism into her forehead tells us how harmful vaccinations are.

#Oscars2015”",1.0,0.6666666666666666,user i m hoping that someone who injects botulism into her forehead tell u how harmful vaccination are oscar
9X97LSYX,"AMN : Department of Health Reminds Pennsylvanians about the Importance of Finding a Vaccine for HIV: HARRISBURG,… <url>",1.0,0.6666666666666666,amn department of health reminds pennsylvanian about the importance of finding a vaccine for hiv harrisburg url
3RC3UM24,"And chicken pox, kids here are vaccinated against it. So no nasty itchy spots and small scars for my little beauty",1.0,0.6666666666666666,and chicken pox kid here are vaccinated against it so no nasty itchy spot and small scar for my little beauty
Y1X239EZ,<user> strong babies are immunized. <url>,1.0,0.6666666666666666,user strong baby are immunized url
XZ2XCORX,"#studioflow #maryland #nevernotworking #MMR #BBoyEnt #TeamFreePour #HumbleBeginnings @ Lanham,… <url>",0.0,1.0,studioflow maryland nevernotworking mmr bboyent teamfreepour humblebeginnings lanham url
1LO0E2X3,We vaccinated 125 people for TDaP and 100 people for flu at the #dragoncon  vaccine clinic! Together we are saving the world from diseases!,1.0,1.0,we vaccinated people for tdap and people for flu at the dragoncon vaccine clinic together we are saving the world from disease
Y94ZTSWM,You hv as many brain cells in yr body as in yr brain #weirdecience In #immunity class w /Teri Mosey #ideapti #FitFluential #fitsocial,0.0,1.0,you hv a many brain cell in yr body a in yr brain weirdecience in immunity class w teri mosey ideapti fitfluential fitsocial
AA26GWDP,.<user> offers FREE vaccines for Kindergarten &amp; 7th grade students this Sat. from 11am - 3pm at 4 local high schools. <user>,1.0,0.6666666666666666,user offer free vaccine for kindergarten amp th grade student this sat from am pm at local high school user
AE8X6Z1D,People who don't immunize their children and put ALL other children at risk are the dumbest people in the world. #LawandOrderSVU <user>,1.0,1.0,people who don t immunize their child and put all other child at risk are the dumbest people in the world lawandordersvu user
KAHIDPB5,<user> <user> <user> <user> <user> Breastfeed as long as  ucan &amp; VACCINATE your kids. Dead diseases aren't really dead,1.0,1.0,user user user user user breastfeed a long a ucan amp vaccinate your kid dead disease aren t really dead
588KW8QS,"I'm naturally immune.  Next level style""<user> ""<user> Atychiphobia is the fear of failure.""

I was vaccinated as a child""",-1.0,0.6666666666666666,i m naturally immune next level style user user atychiphobia is the fear of failure i wa vaccinated a a child
1RM41J45,<user> I'm confused. If #vaccineswork how can my vaccinated child be infected by an UNVACCINATED child?,0.0,0.6666666666666666,user i m confused if vaccineswork how can my vaccinated child be infected by an unvaccinated child
OR5UEQCX,"""<user> #Measles Vaccination Campaigns Boost Coverage, Save Lives <url> <url>",1.0,1.0,user measles vaccination campaign boost coverage save life url url
ACW4PL1E,You are dumb as shit if you don't vaccinate your kids.,1.0,1.0,you are dumb a shit if you don t vaccinate your kid
RPKLJ8TA,Italian court rules mercury and aluminum in vaccines cause autism: US media continues total blackout of medical truth <url>,-1.0,0.6666666666666666,italian court rule mercury and aluminum in vaccine cause autism u medium continues total blackout of medical truth url
PJWC8DQ7,“<user> Georgia confirms its first #measles case since 2012 - an infant from outside the country <url> nopeee,1.0,1.0,user georgia confirms it first measles case since an infant from outside the country url nopeee
MG2MWKSR,Health Officials Say It’s Not Too Late For Flu Vaccine: DETROIT (WWJ) – The official start of winter still days... <url>,1.0,1.0,health official say it s not too late for flu vaccine detroit wwj the official start of winter still day url
LCYLFN0X,Taking baby girl to get vaccinated. (@ South Branch Pet &amp; Bird Clinic) <url>,1.0,1.0,taking baby girl to get vaccinated south branch pet amp bird clinic url
0OKMOOLP,Measles Contamination Warning To East Bay Library Visitors: Health officials are warning of a possible threat of… <url>,0.0,1.0,measles contamination warning to east bay library visitor health official are warning of a possible threat of url
H0EXONVQ,Health officials recommend certain people stay away from Disneyland as measles outbreak continues <url>,0.0,1.0,health official recommend certain people stay away from disneyland a measles outbreak continues url
JOPDR3YV,"Day 11: 390,000 times a day a child receives a measles vaccination from the Red Cross and their partners.",0.0,0.6666666666666666,day time a day a child receives a measles vaccination from the red cross and their partner
IH45M0NU,"Tarrant County Obtains 1,000 More Flu Vaccines: Tarrant County Public Health said Tuesday they are distributing... <url>",0.0,0.6666666666666666,tarrant county obtains more flu vaccine tarrant county public health said tuesday they are distributing url
B1HZG7MU,<user> Do they have laminated menus with ketchup stains? Are you up-to-date with your vaccines?  Then yes. Totally safe.,1.0,1.0,user do they have laminated menu with ketchup stain are you up to date with your vaccine then yes totally safe
5HOY9TVL,Went to the health center. They told me I only needed one vaccine. Ended up getting 3 shots. This is why I have trust issues,-1.0,0.3333333333333333,went to the health center they told me i only needed one vaccine ended up getting shot this is why i have trust issue
ZYGR4488,Congressman: Measles Outbreak May Be Caused By ‘Illegal Aliens’ <url> which he claimed because he is  ignorant of the truth,0.0,1.0,congressman measles outbreak may be caused by illegal alien url which he claimed because he is ignorant of the truth
R1NM4Q4S,<user> <user> Me too. That's why my husband and I have chosen not to vaccinate our kids.,-1.0,1.0,user user me too that s why my husband and i have chosen not to vaccinate our kid
3HZ8879T,"""On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health."" <user>",0.0,1.0,on average people who complain live longer releasing this tension increase immunity and boost their health user
O2DH4LSF,Bills banning most vaccine exemptions fail in Northwest: Legislative efforts to put more pressure on parents to get… <url>,0.0,1.0,bill banning most vaccine exemption fail in northwest legislative effort to put more pressure on parent to get url
AABZOQJP,Still oppose vaccine? “<user> #Measles outbreak: The epidemic isn’t near; it’s already here <url> #Pakistan”,1.0,0.6666666666666666,still oppose vaccine user measles outbreak the epidemic isn t near it s already here url pakistan
JJCMATN7,Measles vaccination clinics announced in Palatine: Health officials have set up two vaccination clinics for people… <url>,1.0,0.6666666666666666,measles vaccination clinic announced in palatine health official have set up two vaccination clinic for people url
O8B914DK,"RT <user> A call about vaccines just came in. Mark revealed that his son is unvaccinated. Is this child abuse? Yes, without a doubt!",1.0,1.0,rt user a call about vaccine just came in mark revealed that his son is unvaccinated is this child abuse yes without a doubt
G901E5A0,"<user> Godamn , for mmr ?",0.0,1.0,user godamn for mmr
TZZ69V62,<user> folks my age who had the mumps prior to vaccination introduction probably are not at as great of risk. Advantage age! 2/2.,0.0,1.0,user folk my age who had the mumps prior to vaccination introduction probably are not at a great of risk advantage age
IYZVEQD4,Couldn't get my schedule cause I'm missing a vaccine. Schools already pissing me off.,0.0,1.0,couldn t get my schedule cause i m missing a vaccine school already pissing me off
YVWT48IG,"If the vaccinated children are in fact ""immune"", then why are they afraid of the unvaccinated?",-1.0,0.6666666666666666,if the vaccinated child are in fact immune then why are they afraid of the unvaccinated
314AHKOF,"<user> <user> <user>
but they were vaccinated...right?Don't get me wrong,I know a small%of children are affected",1.0,0.6666666666666666,user user user but they were vaccinated right don t get me wrong i know a small of child are affected
RW7Z13E9,"Hello, <user> most people in my age group survived #Measles #Mumps #ChickenPox.",0.0,1.0,hello user most people in my age group survived measles mumps chickenpox
TRIA42TR,Sun Ra measles,0.0,1.0,sun ra measles
2ZKZKPAV,"""<user> Children can avoid getting forced vaccinated in schools by declaring it's against their religious beliefs."" 
I do it yearly",-1.0,1.0,user child can avoid getting forced vaccinated in school by declaring it s against their religious belief i do it yearly
886QAC8F,AZ confirms 8 additional cases of measles. Additional community exposures identified. <url>,0.0,1.0,az confirms additional case of measles additional community exposure identified url
44ISVVWW,".<user> 1 in 5 children are w/o lifesaving vaccines, pls change this &amp; put #immunizationfirst on the <user> Summit agenda",1.0,1.0,user in child are w o lifesaving vaccine pls change this amp put immunizationfirst on the user summit agenda
PUZ9U1M6,Do you know the truth about the connection between vaccines and autism? Hint: Science knows. (via <user> <url>,0.0,1.0,do you know the truth about the connection between vaccine and autism hint science know via user url
O7YGH609,<user> read the before and after stats on measles and vaccinations (1948 baseline). Alarming. I guess things change when you have kids.,1.0,1.0,user read the before and after stats on measles and vaccination baseline alarming i guess thing change when you have kid
4XKLST95,Outbreaks of #measles and #tuberculosis in US.  Two diseases that had been pretty much eliminated here.  #Obama,0.0,0.6666666666666666,outbreak of measles and tuberculosis in u two disease that had been pretty much eliminated here obama
B4Y4ECG7,A work of art next to a work of art 😍 The beautiful ritamonroe ladies and gentlemen #smoknfaces #mmr… <url>,0.0,1.0,a work of art next to a work of art the beautiful ritamonroe lady and gentleman smoknfaces mmr url
RTNSFG8W,Will someone link me the video to that pediatrician giving that baby his vaccines while singing? I haven't seen it 100 times yet. Thanks.,0.0,1.0,will someone link me the video to that pediatrician giving that baby his vaccine while singing i haven t seen it time yet thanks
0AKN4MI1,"Commercialization Officer, Vaccine and Pharmaceutical Delivery Technologies, Seattle, United States <user> #jobs <url>",0.0,1.0,commercialization officer vaccine and pharmaceutical delivery technology seattle united state user job url
VRLTLH3P,"“<user> On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.”that us BS!!",0.0,1.0,user on average people who complain live longer releasing this tension increase immunity and boost their health that u b
N62TN2AV,Bob Iger says #measles has no impact on attendance at Disneyland. Year-over-year quarter trending higher attendance $DIS,0.0,1.0,bob iger say measles ha no impact on attendance at disneyland year over year quarter trending higher attendance dis
ARC7E39K,<user> heyy please follow me and <user> She has beadles measles over you!!!!:),0.0,1.0,user heyy please follow me and user she ha beadle measles over you
DF906D9E,<user> <user> told my mom immunization consent forms were scary. She said the diseases r a lot scarier&amp;she saw kids die from them,1.0,0.6666666666666666,user user told my mom immunization consent form were scary she said the disease r a lot scarier amp she saw kid die from them
5K6RMU58,How much would it cost govt to admit vaccines play a part in autism,-1.0,1.0,how much would it cost govt to admit vaccine play a part in autism
MDAQWW3A,"Life 5 builds and restores core intestinal health to enhance intestinal health, sustain energy and improve immunity. <url>",0.0,1.0,life build and restores core intestinal health to enhance intestinal health sustain energy and improve immunity url
ACKJ9GO7,TBT 2/5/02-3 1/2 yr old daughter's colon pathology report <user> #CDCwhistleblower #MMR #BreakABillion #truth <url>,-1.0,0.6666666666666666,tbt yr old daughter s colon pathology report user cdcwhistleblower mmr breakabillion truth url
9O3AV85A,<user> I live everything I need to know about vaccines every day. My son's struggle to overcome his vaccine injury is is on-going.,-1.0,0.6666666666666666,user i live everything i need to know about vaccine every day my son s struggle to overcome his vaccine injury is is on going
4H4KQT3W,People not vaccinating their kids is ridiculous,1.0,1.0,people not vaccinating their kid is ridiculous
X1HSXDVN,"US on track for most measles in decade: cases in 4 states, most linked to Africa, Europe, Asia <url>",0.0,1.0,u on track for most measles in decade case in state most linked to africa europe asia url
Y4I5PPRP,A cut in federal immunization programs despite the negative propaganda and measles out break via <user> <url>,0.0,0.6666666666666666,a cut in federal immunization program despite the negative propaganda and measles out break via user url
4OIDGN9D,"Few worse than connected group of the ""anti-vacciners"", ""marijuana isn't harmful"" smokers, 9-11 truthers, and American military loathers.",0.0,0.6666666666666666,few worse than connected group of the anti vacciners marijuana isn t harmful smoker truthers and american military loather
6T5P75R6,“<user> measles” celebrating the end of this wonderful A-Z experiment - hopefully next time the above 'm' will have been eradicated!,1.0,1.0,user measles celebrating the end of this wonderful a z experiment hopefully next time the above m will have been eradicated
FJNYYT6H,<user> Ridiculous that they even let those kids in the school. I don't want them exposing my kid who is vaccinated to kids who aren't.,1.0,0.6666666666666666,user ridiculous that they even let those kid in the school i don t want them exposing my kid who is vaccinated to kid who aren t
84L4QBOL,Dead at the Lil pound cake doll injecting little girls with the hpv vaccine!!!  #snl,-1.0,0.3333333333333333,dead at the lil pound cake doll injecting little girl with the hpv vaccine snl
2EP6N4RD,"<user> <user> I got the vaccine as a kid, which may or may not still be effective.. I should probably look into it..",1.0,0.6666666666666666,user user i got the vaccine a a kid which may or may not still be effective i should probably look into it
K1P5YI7I,Vaccinate your damn children why is this even a thing,1.0,1.0,vaccinate your damn child why is this even a thing
